facility_name,facility_phone,facility_address,facility_type,geo_lng,geo_lat
샘탁구클럽,,서울특별시 마포구 새터산길 72 동호빌딩 지하1층(성산동),탁구,126.9078447,37.567797
생각나무BB센터,222080130,서울특별시 중랑구 동일로 807 지하(중화동),댄스(줌바 등),127.0790217,37.6024662
오케이 복싱,28161230,서울특별시 동작구 양녕로 257 지하1층 OK복싱(상도1동),복싱,126.9472949,37.5031673
원코르 필라테스 압구정점,25121225,서울특별시 강남구 압구정로30길 60 5층(신사동),필라테스,127.0288815,37.5234551
서대문복싱클럽,23127989,서울특별시 서대문구 통일로 189-1 4층(영천동),복싱,126.9618596,37.5703388
원짐WON GYM,,서울특별시 영등포구 당산로30길 11 지하2층(당산동3가),헬스,126.8979851,37.525596
오바른짐,24155857,서울특별시 송파구 백제고분로 270 지하1층(삼전동),기타종목,127.0962857,37.5022259
스포츠재활 재활PT 운동진정성,25990926,"서울특별시 서초구 서초대로33길 29 201호, 운동진정성(방배동, 벨라지오)",헬스,126.9960843,37.4899356
서부재활체육센터,23886622,서울시 은평구 갈현로 11길 30 191-1 서부재활체육센터,헬스,126.9068531,37.6057782
오늘도발레학원,,서울특별시 양천구 목동중앙남로 3 5층(목동),무용(발레 등),126.8693135,37.5349643
예닮필라테스,,서울특별시 동작구 등용로 73-2 1층 예닮필라테스(대방동),필라테스,126.9321341,37.5078586
서울검도관,29923579,"서울특별시 노원구 초안산로5길 12 월계프라자 3층, 308호 서울검도관(월계동)",검도,127.0517605,37.6325635
서울당구클럽,,서울특별시 강서구 까치산로 101 두산빌딩 / 서울당구클럽 3층(화곡동),당구,126.8486111,37.5474677
서울숲 탁구클럽,261040120,서울특별시 성동구 상원4길 9 대신빌딩 지하(성수동1가),탁구,127.0497012,37.547293
서울숲복합문화체육센터,222046600,서울특별시 성동구 왕십리로11길 19 서울숲복합문화체육센터(성수동1가),헬스,127.0415013,37.5490719
주식회사와우스포츠아카데미,27860955,"서울특별시 영등포구 국제금융로 79 롯데슈퍼 지하1층  와우수영장(여의도동, 한양아파트)",수영,126.932323,37.5215706
서울시립영등포장애인복지관,236677979,서울특별시 영등포구 버드나루로 22 (영등포동2가),요가,126.9129084,37.520858
서울시발달장애인사회적응지원센터,24483302,서울특별시 송파구 마천로 226 (마천동),기타종목,127.1429368,37.5002236
서울여성플라자스포츠센터,28222425,서울특별시 동작구 여의대방로54길 18 1층 스포츠센터(대방동),수영,126.9272242,37.5116167
서울재활운동센터,263260412,서울특별시 강서구 공항대로 190 3층 302호(마곡동),필라테스,126.8286371,37.5590423
서울탑체육관,222078186,서울특별시 중랑구 망우로66길 22 (망우동),태권도,127.0994895,37.5985551
서울특별시립강남주민편익시설,234122171,서울특별시 강남구 남부순환로 3318 강남주민편익시설(일원동),헬스,127.0935988,37.4942316
서울특별시립노원시각장애인복지관,29500190,서울특별시 노원구 덕릉로70가길 98 4층 통합사무실(상계동),기타종목,127.0565193,37.642085
서울특별시서대문구도시관리공단,23608681,서울특별시 서대문구 백련사길39 서대문문화체육회관,헬스,126.9314526,37.5806749
서울특별시성동구도시관리공단,222047616,서울특별시 성동구 왕십리로 89 성동구민종합체육센터(성수동1가),헬스,127.0440144,37.5458701
올탁구클럽,220390161,서울특별시 노원구 동일로 1051 5층 올탁구클럽(공릉동),탁구,127.0732779,37.6238176
영자피트니스이수방배,25991740,서울특별시 서초구 동작대로 134 b3 영자피트니스(방배동),종합체육시설,126.9827975,37.4886136
석사경희대태권도,27176662,"서울특별시 용산구 원효로 51 410(산천동, 삼성테마트)",태권도,126.9500687,37.5338712
석사경희태권도,25867676,서울특별시 관악구 남현4길 1 301호(남현동),태권도,126.9766703,37.474972
영아태권도,25973000,서울특별시 동작구 사당로 170 2층 영아태권도(사당동),태권도,126.9677289,37.4866404
영수 태권도,27164585,"서울특별시 마포구 대흥로 41 2층 용인대 영수 태권도(신수동, 신수동 근생및 단독주택)",태권도,126.9386521,37.544558
석사월드태권도장,,서울특별시 노원구 동일로 1280 상가2층(중계동),태권도,127.0657465,37.6434986
영등포제2스포츠센터,226302921,서울특별시 영등포구 국회대로 615 영등포제2스포츠센터(당산동4가),헬스,126.9027816,37.5266954
석사체육관,24265383,서울특별시 강동구 동남로65길 56 지하1층(명일동),태권도,127.1527439,37.5478748
영등포구시설관리공단영등포 제1스포츠센터,226501512,서울특별시 영등포구 신풍로 1 (신길동),헬스,126.9062946,37.5005379
선 태권도장,29366080,"서울특별시 노원구 한글비석로 420 원일빌딩 3층, 선 태권도장(상계동)",태권도,127.070414,37.6619212
영등포검도관,28325040,서울특별시 영등포구 도신로 252 영등포검도관(신길동),검도,126.9185618,37.5134353
선태권도장,23964617,서울특별시 서대문구 홍제내길 98 지하(홍제동),태권도,126.9358714,37.5867351
성균관태권도1관,,서울특별시 종로구 혜화로 31 성균관태권도1관(명륜1가),태권도,126.9994564,37.5883452
코리안탑팀,226475104,서울특별시 양천구 신목로 80 3층(신정동),복싱,126.8743889,37.5218662
엘리트체육관,29373450,서울특별시 노원구 동일로241가길 18 2층 엘리트 태권도(상계동),태권도,127.0540164,37.676605
성동구립용답체육센터,222046627,서울특별시 성동구 천호대로78길 15-48 지하 1층 용답체육센터(용답동),수영,127.057059,37.5618304
성동장애인종합복지관,222903186,서울특별시 성동구 청계천로 506 성동장애인종합복지관(마장동),기타종목,127.0334753,37.5702263
성룡태권도,29031999,서울특별시 도봉구 덕릉로59가길 17 2층 성용태권도(창동),태권도,127.0386826,37.6397325
성모자애복지관,234108831,서울특별시 강남구 헌릉로757길 35 성모자애복지관(율현동),종합체육시설,127.1194354,37.4705425
성무태권도장,28532177,"서울특별시 금천구 독산로78다길 22 1층 성무태권도(독산동, 아셈그린힐)",태권도,126.9052063,37.4693221
성미산체육관,23249875,서울특별시 마포구 월드컵북로15길 31-11 성미산체육관(성산동),배드민턴,126.9121109,37.5623401
성민복지관,29330296,서울특별시 노원구 노원로32길 30-3 성민복지관(상계동),기타종목,127.0693193,37.6556829
성북구도시관리공단 장위건강누림센터,222410171,서울특별시 성북구 장위로21나길 18 장위건강누림센터 3층(장위동),헬스,127.0444905,37.615235
성북구도시관리공단성북구립휘트니스센터,222410691,서울특별시 성북구 보문로29길 49 성북구립휘트니스센터(삼선동3가),헬스,127.01492,37.5863886
성북체육관,29151506,서울특별시 성북구 장월로8가길 42 3층(장위동),태권도,127.049816,37.6112669
열매점핑허브다이어트,271416481,서울특별시 금천구 독산로40길 49 3층(시흥동),기타종목,126.9071731,37.4610298
성실태권도체육관,29267363,서울특별시 성북구 고려대로17가길 78 래미안상가302호(안암동1가),태권도,127.0226862,37.5891633
태결검도관,,서울특별시 관악구 쑥고개로 73-1 2층(봉천동),검도,126.944774,37.4796243
열린금호교육문화관,222047650,서울특별시 성동구 무수막길 69 열린금호교육문화관(금호동2가),기타종목,127.0198751,37.5527068
유연필라테스,257527382,서울특별시 강서구 강서로 177 영빌딩 6층 601호(화곡동),필라테스,126.8395042,37.5421838
성환태권도,23522272,서울특별시 은평구 통일로69길 16 2층(대조동),태권도,126.9268684,37.6112298
세계복싱체육관,236641266,서울특별시 강서구 양천로69길 11 4층  401호(염창동),복싱,126.8703829,37.5531245
세계태권도체육관,28634112,"서울특별시 관악구 난향길 5 태성빌딩 5층, 501호(신림동)",태권도,126.9185668,37.4627392
하이피트니스,262140207,서울특별시 송파구 백제고분로 128 지하1층(잠실동),헬스,127.0810019,37.5060911
세움재활운동센터,,서울특별시 마포구 성산로 128 마포중앙도서관 지하1층 5호(성산동),헬스,126.9082019,37.5637955
영등포구시설관리공단영등포다목적배드민턴체육관,226302995,서울특별시 영등포구 도신로15길 5 배드민턴체육관(도림동),배드민턴,126.8982002,37.5059713
세종당구 아카데미클럽,29806199,서울특별시 강북구 도봉로 260 운산빌딩4층 세종당구아카데미클럽(미아동),당구,127.0244403,37.6317065
